ocid,buyer_name,buyer_id,title,desc,supplier,value,currency,date,detected_provider
ocds-hu01ve-8598571,ASECO S.P.A.,01449520426,,ORDINE DI ACQUISTO N.RO 52 DEL 13 - 05 - 2022 REDAZIONE DEL P.F.T.E. - RELATIVO ALL'IMPIANTO DI PRODUZIONE DI BIOGAS DA BIOMASSA IN AREA ADIACENTE DEP. AQP DI FOGGIA OWAC ENGINEERING COMPANY S.R.L,,0.0,EUR,2024-02-09 17:42:52.888T12:00:00Z,engineering
ocds-hu01ve-8599343,INSIEL SPA,00118410323,,ID 4926 - SERVIZIO DI SUPPORTO OMNICOMPRENSIVO PER LA GESTIONE DELLE INFRASTRUTTURE E DELLE SOLUZIONI BASATE SU TECNOLOGIA MICROSOFT,MICROSOFT S.R.L.,138000.0,EUR,2024-10-22 07:21:54.142T12:00:00Z,microsoft
ocds-hu01ve-8600115,COMUNE DI VARESE,00441340122,,LAVORI DI EFFICIENTAMENTO ENERGETICO PRESSO L'IMMOBILE ABITATIVO SAP (EX ERP) DI VIA MISURINA 18 A VARESE ,EDILIZIA MODERNA NUOVA S.R.L.,506390.54,EUR,2024-03-15 17:29:57.195T12:00:00Z,sap
ocds-hu01ve-8600162,COMUNE DI CREMONA,00297960197,,COORDINAMENTO SICUREZZA IN FASE DI PROGETTAZIONE (CSP) E IN FASE DI ESECUZIONE (CSE) DEGLI INTERVENTI DI RIQUALIFICAZIONE DEGLI ALLOGGI SAP DI VIA VALDIPADO,OTTOUNO CONSULTING SRL,45288.46,EUR,2024-04-03 16:30:06.124T12:00:00Z,sap
ocds-hu01ve-8600433,AZIENDA SANITARIA LOCALE DI POTENZA,01722360763,,FORNITURA DISPOSITIVI E MATERIALE DI CONSUMO SISTEMA ACCU-CHECK SAP/ACCU-CHECK SOLO-INSIGHT PER PAZIENTI AVENTI DIRITTO,MEDICAL CENTER MG SRL,53123.6,EUR,2024-11-27 17:33:02.742T12:00:00Z,sap
ocds-hu01ve-8601024,AZIENDA SANITARIA LOCALE CITTA' DI TORINO,11632570013,,AFFIDAMENTO DELLA FORNITURA DEI SERVIZI LINK PUNTO - PUNTO LAYER 2 ALLA SOCIETÀ FASTWEB SPA. ,FASTWEB SPA,62255.52,EUR,2024-02-09 17:45:14.658T12:00:00Z,fastweb
ocds-hu01ve-8601650,UNIVERSITA DEGLI STUDI DEL SANNIO,01114010620,,"AFFIDAMENTO AI SENSI DELLART. 36 COMMA 2 LETT. A) D.LGS. 50/2016 DEL SERVIZIO DI TRASPORTO/NAVETTA IN OCCASIONE DEL IX PHD ON THE GO MARCO GARETTI INTERNATIONAL DOCTORAL WORKSHOP, INDUSTRIAL SYSTEM EN",,0.0,EUR,2024-02-09 17:44:00.621T12:00:00Z,engineering
ocds-hu01ve-8603446,ACQUEVENETE S.P.A.,00064780281,,ACQUISTO LICENZE DI RINNOVO APPLICATIVI MICROSOFT OFFICE E LICENZE SERVER.,TELECOM ITALIA S.P.A.,400000.0,EUR,2024-02-10 17:26:55.421T12:00:00Z,microsoft
ocds-hu01ve-8603558,GRANDI STAZIONI RAIL S.P.A.,05129581004,,MICROSOFT SERVICES CUSTOM PREMIER BASE SUPPORT (RIF. 96/22),MICROSOFT,224370.0,EUR,2024-02-09 17:42:39.443T12:00:00Z,microsoft
ocds-hu01ve-8603582,COMUNE DI SESTO SAN GIOVANNI,02253930156,,"AFFIDAMENTO DELL'INCARICO DI SUPPORTO AL RUP, AI SENSI DELL'ARTICOLO 31 COMMA 9 DEL D. LGS 50 DEL 2016, PER I PROGETTI PER L'INTERVENTO DI ADEGUAMENTO NORMATIVO DELLE PARTI COMUNI DEGLI EDIFICI SAP DI",ARCHITETTO BELTRAMI GEMMA,37520.0,EUR,2024-03-25 17:30:08.538T12:00:00Z,sap
